Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,2017
Little River Canyon NPRES,"197,693","189,251","192,576","225,549","201,109","185,477","224,931","248,135","462,700",,,"367,058"
Little Rock Central High School NHS,"42,302","60,103","49,740","66,106","63,938","114,144","115,908","125,956","129,540",,,"170,413"
Longfellow NHS,"59,827","39,065","45,684","46,596","52,234","40,554","46,371","50,784","49,697",,,"51,606"
Lowell NHP,"574,410","565,960","540,475","520,452","537,551","517,763","514,524","531,055","541,825",,,"562,498"
Lyndon B. Johnson NHP,"93,204","98,218","112,680","100,056","110,791","82,369","88,427","124,979","140,303",,,"146,119"
Maggie L. Walker NHS,"7,367","9,853","12,331","10,779","8,276","7,013","9,045","7,589","9,589",,,"10,738"
Mammoth Cave NP,"446,174","503,856","497,225","483,319","508,054","494,541","522,628","566,895","586,514",,,"587,853"
Manassas NBP,"594,992","578,383","612,490","659,740","600,354","538,888","514,140","502,045","534,835",,,"605,577"
Manhattan Project NHP,,,,,,,,,"104,715",,,"89,599"
Manzanar NHS,"78,468","89,190","76,592","79,587","72,831","77,511","77,633","95,327","105,307",,,"114,461"
Marsh-Billings-Rockefeller NHP,"37,121","31,129","31,209","29,049","32,403","34,112","39,086","35,003","55,716",,,"46,523"
"Martin Luther King, Jr. Memorial",,,,"1,490,358","3,738,336","3,205,654","3,199,136","3,530,401","3,638,208",,,"3,651,093"
